Customer ID,Gender,Age,Contract,Internet Type,Payment Method,Churn,Customer Status,Churn Reason,Churn Score,Satisfaction Score,Total Revenue,Streaming Platforms,Latitude,Longitude,City,Country,,,
1043-YCUTE,Male,19,Two Year,Other,Credit Card,Yes,Churned,Dissatisfaction,79%,3,2066.35,No Streaming,37.639215,-122.037554,Hayward,United States,,,
4471-KXAUH,Female,58,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Attitude,91%,3,4039.06,No Streaming,35.710244,-118.881679,Woody,United States,,,
1964-SVLEA,Male,59,One Year,Other,Mailed Check,No,Stayed,Other,80%,4,1018.5,No Streaming,34.105493,-117.660934,Upland,United States,,,
9483-GCPWE,Male,60,One Year,Other,Credit Card,No,Stayed,Other,20%,4,436.31,No Streaming,34.137742,-114.36514,Earp,United States,,,
5144-TVGLP,Male,68,Two Year,Fiber Optic,Bank Withdrawal,No,Stayed,Other,71%,3,5391.66,Movies + TV,33.949255,-118.246978,Los Angeles,United States,,,
8640-SDGKB,Male,39,Month-to-Month,DSL,Bank Withdrawal,Yes,Churned,Attitude,69%,2,415.26,All,34.002028,-118.430656,Los Angeles,United States,,,
4890-VMUAV,Male,46,One Year,DSL,Bank Withdrawal,No,Stayed,Other,36%,3,5783.45,No Streaming,32.827184,-116.703729,Alpine,United States,,,
9753-OYLBX,Female,54,Month-to-Month,Other,Credit Card,No,Joined,Other,54%,5,29.06,No Streaming,32.85723,-117.209774,San Diego,United States,,,
8722-PRFDV,Female,21,Two Year,Cable,Credit Card,No,Stayed,Other,27%,3,9036.31,All,34.11572,-118.192754,Los Angeles,United States,,,
4001-TSBTV,Female,49,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,49%,3,7874.57,Streaming TV,38.549185,-121.328386,Sacramento,United States,,,
7789-CRUVC,Female,77,Month-to-Month,Fiber Optic,Credit Card,No,Stayed,Other,76%,3,7954.2,No Streaming,32.741852,-117.243453,San Diego,United States,,,
9479-HYNYL,Female,48,Two Year,Cable,Credit Card,No,Stayed,Other,24%,5,8801.36,All,32.853743,-117.25034,La Jolla,United States,,,
8008-HAWED,Male,38,Month-to-Month,Cable,Bank Withdrawal,Yes,Churned,Competitor,82%,1,722.75,All,34.127194,-118.295647,Los Angeles,United States,,,
9903-LYSAB,Male,42,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,73%,4,1607.99,No Streaming,34.139082,-118.39275,Studio City,United States,,,
8033-VCZGH,Male,27,One Year,Fiber Optic,Bank Withdrawal,No,Stayed,Other,42%,3,6395.3,All,37.680968,-121.446049,Tracy,United States,,,
8540-ZQGEA,Female,58,Two Year,Other,Credit Card,No,Stayed,Other,40%,5,2869.28,No Streaming,33.947305,-118.439841,Playa Del Rey,United States,,,
4002-BQWPQ,Male,59,Month-to-Month,Cable,Bank Withdrawal,No,Stayed,Other,61%,3,2658.8,Movies + Music,38.049292,-122.228415,Crockett,United States,,,
3669-WHAFY,Female,57,Two Year,Fiber Optic,Credit Card,No,Stayed,Other,24%,3,8748.34,All,33.929704,-118.01208,Whittier,United States,,,
8148-NLEGT,Female,47,Two Year,Other,Bank Withdrawal,No,Stayed,Other,24%,5,1600.15,No Streaming,38.224869,-119.755729,Pinecrest,United States,,,
4830-FAXFM,Male,62,Month-to-Month,Other,Credit Card,No,Stayed,Other,35%,4,714.32,No Streaming,40.7666,-123.80458,Korbel,United States,,,
4962-CHQPW,Male,54,One Year,Other,Mailed Check,No,Stayed,Other,26%,4,593.05,No Streaming,40.160386,-120.835428,Greenville,United States,,,
9788-YTFGE,Male,47,Month-to-Month,Other,Credit Card,No,Stayed,Other,38%,3,244.52,No Streaming,40.584991,-124.121504,Fortuna,United States,,,
3001-UNBTL,Male,69,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,58%,4,4396.24,Movies + TV,34.169706,-118.323548,Burbank,United States,,,
6376-GAHQE,Male,48,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Other,65%,2,480.4,Streaming TV,39.197215,-120.83679,Dutch Flat,United States,,,
5222-IMUKT,Male,40,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,80%,4,4385.1,All,37.479926,-120.230424,Hornitos,United States,,,
7762-URZQH,Male,30,Two Year,Fiber Optic,Credit Card,Yes,Churned,Dissatisfaction,83%,2,8533.01,All,33.991782,-118.479229,Venice,United States,,,
6141-OOXUQ,Male,43,Month-to-Month,Other,Mailed Check,Yes,Churned,Dissatisfaction,69%,2,36.9,No Streaming,34.122501,-117.320138,San Bernardino,United States,,,
2692-AQCPF,Female,32,One Year,Fiber Optic,Credit Card,No,Stayed,Other,69%,3,9806,All,37.538309,-122.305109,San Mateo,United States,,,
4879-GZLFH,Female,33,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,33%,5,4620.9,All,33.874224,-117.993368,Buena Park,United States,,,
8775-ERLNB,Male,76,Two Year,Fiber Optic,Bank Withdrawal,No,Joined,Other,47%,5,92.14,No Streaming,33.752938,-116.230055,Indio,United States,,,
5855-EIBDE,Female,35,Two Year,Fiber Optic,Credit Card,No,Stayed,Other,57%,4,7167.18,Movies + Music,38.689174,-121.218435,Orangevale,United States,,,
4441-NIHPT,Female,73,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Competitor,90%,1,1465.16,No Streaming,36.936228,-121.785559,Freedom,United States,,,
2123-VSCOT,Female,39,Two Year,Cable,Bank Withdrawal,No,Stayed,Other,52%,5,5658.64,Streaming TV,34.083086,-117.737997,Pomona,United States,,,
7072-MBHEV,Female,77,Month-to-Month,Fiber Optic,Credit Card,No,Stayed,Other,50%,5,1059.11,No Streaming,34.966777,-117.961179,Edwards,United States,,,
2050-ONYDQ,Female,48,Two Year,Other,Credit Card,No,Stayed,Other,72%,3,1846.6,No Streaming,37.540582,-122.509594,Montara,United States,,,
3315-TOTBP,Male,29,Month-to-Month,Fiber Optic,Mailed Check,Yes,Churned,Dissatisfaction,74%,1,1803.75,Streaming Music,40.331975,-121.460674,Mill Creek,United States,,,
7945-HLKEA,Female,29,One Year,DSL,Bank Withdrawal,No,Stayed,Other,25%,3,6436.5,No Streaming,37.45567,-122.407992,Half Moon Bay,United States,,,
0928-JMXNP,Male,78,Two Year,DSL,Bank Withdrawal,No,Stayed,Other,46%,4,118.25,No Streaming,40.059385,-122.091481,Los Molinos,United States,,,
3714-NTNFO,Female,49,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,71%,5,5239.5,Movies + Music,34.072945,-118.37267,Los Angeles,United States,,,
6923-EFPNL,Male,39,Month-to-Month,DSL,Credit Card,Yes,Churned,Competitor,83%,1,241.02,No Streaming,33.782346,-117.635263,Silverado,United States,,,
2138-VFAPZ,Female,40,Two Year,Other,Credit Card,No,Stayed,Other,68%,4,478.27,No Streaming,37.820894,-122.369725,San Francisco,United States,,,
4706-AXVKM,Female,78,Month-to-Month,Fiber Optic,Credit Card,Yes,Churned,Price,67%,2,951.95,Streaming Movies,34.364153,-118.615583,Stevenson Ranch,United States,,,
5453-YBTWV,Male,52,Two Year,Fiber Optic,Credit Card,No,Stayed,Other,62%,3,10471.7,Streaming TV,33.970661,-117.255039,Moreno Valley,United States,,,
0611-DFXKO,Male,35,Month-to-Month,Fiber Optic,Credit Card,Yes,Churned,Dissatisfaction,78%,2,2181.45,All,39.239818,-123.565432,Comptche,United States,,,
0639-TSIQW,Female,28,Month-to-Month,Fiber Optic,Credit Card,Yes,Churned,Competitor,70%,1,9398.75,Streaming TV,33.972293,-116.654195,White Water,United States,,,
3787-TRIAL,Male,23,Month-to-Month,DSL,Bank Withdrawal,No,Stayed,Other,44%,5,565.75,No Streaming,35.996008,-120.85305,San Ardo,United States,,,
6837-BJYDQ,Male,42,One Year,Other,Credit Card,No,Joined,Other,33%,5,168.3,No Streaming,33.782068,-118.262263,Wilmington,United States,,,
1862-QRWPE,Female,24,Two Year,Other,Bank Withdrawal,No,Stayed,Other,25%,5,2879.08,No Streaming,34.079449,-118.548306,Pacific Palisades,United States,,,
3221-CJMSG,Male,45,Month-to-Month,DSL,Credit Card,No,Stayed,Other,23%,5,1325.52,No Streaming,33.999992,-117.535395,Mira Loma,United States,,,
2612-PHGOX,Male,47,Two Year,Cable,Bank Withdrawal,No,Stayed,Other,26%,4,5240.56,Streaming TV,38.434362,-122.86891,Graton,United States,,,
2266-SJNAT,Female,21,One Year,Fiber Optic,Credit Card,No,Stayed,Other,46%,4,8642.8,All,33.507255,-117.029473,Temecula,United States,,,
0511-JTEOY,Female,41,Month-to-Month,Fiber Optic,Mailed Check,Yes,Churned,Competitor,91%,2,81.29,No Streaming,40.171312,-121.120605,Canyon Dam,United States,,,
8111-BKVDS,Female,31,Month-to-Month,DSL,Bank Withdrawal,No,Stayed,Other,26%,5,449.3,No Streaming,33.141265,-116.967221,Escondido,United States,,,
2338-BQEZT,Female,38,Month-to-Month,DSL,Credit Card,No,Stayed,Other,44%,3,3031.85,No Streaming,37.497915,-122.267361,San Carlos,United States,,,
7979-CORPM,Male,40,Month-to-Month,Fiber Optic,Credit Card,Yes,Churned,Other,67%,2,3144.87,Streaming TV,37.785033,-120.776141,Oakdale,United States,,,
8231-BSWXX,Male,44,One Year,Fiber Optic,Credit Card,No,Stayed,Other,38%,4,8487.64,No Streaming,35.097323,-118.171288,Mojave,United States,,,
2234-XADUH,Female,30,One Year,Fiber Optic,Credit Card,No,Stayed,Other,71%,4,9453.04,All,34.559882,-115.637164,Amboy,United States,,,
7351-MHQVU,Female,43,Month-to-Month,Cable,Credit Card,No,Stayed,Other,79%,3,307.6,Movies + Music,38.481902,-120.603668,Volcano,United States,,,
1696-HXOWK,Female,53,One Year,Fiber Optic,Credit Card,No,Stayed,Other,65%,3,7227.57,Streaming TV,33.930931,-117.361788,Riverside,United States,,,
8966-OIQHG,Female,49,One Year,Other,Bank Withdrawal,No,Stayed,Other,59%,4,1450.05,No Streaming,33.801869,-117.995068,Stanton,United States,,,
9297-FVVDH,Female,33,Two Year,DSL,Bank Withdrawal,No,Stayed,Other,41%,3,5418.25,All,33.734933,-117.044145,Hemet,United States,,,
2466-NEJOJ,Male,58,Month-to-Month,Other,Credit Card,No,Stayed,Other,38%,4,379.11,No Streaming,38.343282,-122.9755,Bodega,United States,,,
5605-IYGFG,Female,61,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,51%,3,707.67,No Streaming,33.849263,-116.382778,Thousand Palms,United States,,,
0480-BIXDE,Female,58,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,66%,5,1945.97,All,39.125311,-121.392283,Beale Afb,United States,,,
2720-FVBQP,Female,28,Month-to-Month,Cable,Credit Card,No,Stayed,Other,30%,3,422.23,No Streaming,41.251322,-122.105209,Mccloud,United States,,,
8614-VGMMV,Female,33,Month-to-Month,DSL,Bank Withdrawal,Yes,Churned,Competitor,86%,1,825.2,No Streaming,33.890046,-117.455583,Riverside,United States,,,
6115-ZTBFQ,Female,56,Two Year,DSL,Bank Withdrawal,No,Stayed,Other,25%,3,4919.7,All,37.855717,-121.994813,Alamo,United States,,,
3629-ZNKXA,Male,77,Two Year,Fiber Optic,Bank Withdrawal,No,Stayed,Other,53%,4,2108.72,Movies + TV,41.924174,-123.260788,Seiad Valley,United States,,,
9691-HKOVS,Female,20,One Year,DSL,Bank Withdrawal,No,Stayed,Other,77%,3,7527.25,All,37.294926,-121.894763,San Jose,United States,,,
0080-OROZO,Female,38,One Year,Fiber Optic,Bank Withdrawal,No,Stayed,Other,36%,3,4806.7,All,37.654551,-119.822984,El Portal,United States,,,
5276-KQWHG,Female,74,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Price,74%,3,162.29,No Streaming,35.710244,-118.881679,Woody,United States,,,
5130-YPIRV,Female,22,Two Year,Cable,Credit Card,No,Stayed,Other,48%,4,4681.62,Streaming TV,32.802959,-117.027095,San Diego,United States,,,
6461-PPAXN,Female,20,One Year,Cable,Bank Withdrawal,No,Stayed,Other,30%,4,3392.3,No Streaming,38.232389,-122.324944,Napa,United States,,,
7018-FPXHH,Male,45,Two Year,DSL,Bank Withdrawal,No,Stayed,Other,72%,3,4695.88,No Streaming,41.388397,-122.794636,Callahan,United States,,,
0269-XFESX,Male,22,One Year,Other,Credit Card,No,Stayed,Other,30%,5,1642.96,No Streaming,37.802071,-122.411004,San Francisco,United States,,,
3750-CKVKH,Male,58,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Other,71%,2,140.15,No Streaming,39.07116,-122.598542,Clearlake Oaks,United States,,,
8020-BWHYL,Female,70,Month-to-Month,Fiber Optic,Credit Card,Yes,Churned,Competitor,91%,3,1267.3,No Streaming,34.2112,-118.230625,Montrose,United States,,,
0570-BFQHT,Female,38,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,26%,3,944.75,No Streaming,40.448632,-122.306657,Anderson,United States,,,
8559-WNQZS,Male,37,Two Year,Other,Credit Card,No,Joined,Other,27%,3,64.27,No Streaming,37.321233,-120.656354,Atwater,United States,,,
4608-LCIMN,Male,45,Month-to-Month,DSL,Bank Withdrawal,No,Stayed,Other,63%,3,615.31,No Streaming,35.165668,-120.655842,Pismo Beach,United States,,,
5921-NGYRH,Male,40,Month-to-Month,Fiber Optic,Credit Card,No,Stayed,Other,50%,3,7840.34,No Streaming,39.288127,-122.415841,Stonyford,United States,,,
7621-VPNET,Female,60,Month-to-Month,Fiber Optic,Credit Card,No,Stayed,Other,25%,3,4594.11,No Streaming,34.137319,-118.029837,Arcadia,United States,,,
7218-HKQFK,Male,49,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Other,72%,2,205.08,All,33.761894,-117.120868,Homeland,United States,,,
6522-YRBXD,Male,68,One Year,Fiber Optic,Bank Withdrawal,No,Stayed,Other,69%,3,4080.8,Streaming Movies,33.807864,-117.923782,Anaheim,United States,,,
4958-GZWIY,Male,61,Month-to-Month,DSL,Bank Withdrawal,Yes,Churned,Other,91%,2,376.16,No Streaming,33.906496,-116.569499,North Palm Springs,United States,,,
1724-IQWNM,Male,37,Month-to-Month,Other,Credit Card,No,Joined,Other,46%,3,27.96,No Streaming,34.213049,-118.317651,Burbank,United States,,,
2982-VPSGI,Female,64,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Competitor,67%,1,1361.27,All,34.110444,-118.156957,South Pasadena,United States,,,
5564-NEMQO,Female,80,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Dissatisfaction,67%,2,130.39,No Streaming,33.53604,-116.119222,Thermal,United States,,,
6849-WLEYG,Male,43,Month-to-Month,Other,Credit Card,Yes,Churned,Attitude,92%,3,31.66,No Streaming,37.83726,-122.287648,Emeryville,United States,,,
8727-JQFHV,Male,60,Two Year,Other,Credit Card,No,Stayed,Other,68%,3,2812.63,No Streaming,41.212695,-122.392067,Dunsmuir,United States,,,
9950-MTGYX,Male,30,Two Year,Other,Credit Card,No,Stayed,Other,73%,3,1024.99,No Streaming,37.218705,-121.762429,San Jose,United States,,,
1383-EZRWL,Female,62,Month-to-Month,Other,Mailed Check,Yes,Churned,Other,89%,2,502.39,No Streaming,33.819814,-118.222416,Long Beach,United States,,,
6772-KSATR,Male,31,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Dissatisfaction,83%,1,91.51,No Streaming,41.280341,-120.150381,Eagleville,United States,,,
5277-ZLOOR,Female,78,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Dissatisfaction,86%,3,198.43,Streaming TV,38.983388,-120.988814,Applegate,United States,,,
6704-UTUKK,Male,43,Month-to-Month,DSL,Bank Withdrawal,No,Stayed,Other,37%,4,1352.4,All,36.301689,-119.018233,Exeter,United States,,,
9313-CDOGY,Male,40,Month-to-Month,Other,Bank Withdrawal,No,Stayed,Other,34%,3,1635.38,No Streaming,32.579134,-117.119009,Imperial Beach,United States,,,
7980-MHFLQ,Female,42,Two Year,Other,Credit Card,No,Stayed,Other,67%,3,3170.32,No Streaming,36.869584,-118.189241,Independence,United States,,,
8626-XHBIE,Male,48,Two Year,Other,Credit Card,No,Stayed,Other,79%,3,2682.52,No Streaming,36.452211,-119.94575,Riverdale,United States,,,
6599-RCLCJ,Male,54,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Competitor,90%,2,5482.69,All,33.362575,-117.299644,Fallbrook,United States,,,
5495-GPSRW,Male,62,Two Year,Other,Credit Card,No,Stayed,Other,56%,5,961.6,No Streaming,34.167236,-116.281511,Joshua Tree,United States,,,
7136-RVDTZ,Male,79,One Year,DSL,Bank Withdrawal,Yes,Churned,Attitude,90%,2,3264.45,Movies + TV,37.369709,-122.215844,Portola Valley,United States,,,
6024-RUGGH,Male,22,Two Year,Other,Bank Withdrawal,No,Stayed,Other,62%,3,3819.22,No Streaming,37.720498,-122.443119,San Francisco,United States,,,
2817-NTQDO,Male,52,Month-to-Month,DSL,Credit Card,Yes,Churned,Dissatisfaction,74%,3,597,Streaming TV,33.666301,-117.969501,Huntington Beach,United States,,,
3571-DPYUH,Male,30,One Year,Fiber Optic,Credit Card,No,Stayed,Other,49%,4,7967.85,Streaming TV,33.507255,-117.029473,Temecula,United States,,,
8999-XXGNS,Female,70,One Year,Fiber Optic,Credit Card,No,Stayed,Other,53%,5,9016.65,All,38.618347,-122.908422,Healdsburg,United States,,,
5948-UJZLF,Male,22,Month-to-Month,DSL,Credit Card,No,Joined,Other,57%,5,178.5,No Streaming,34.091829,-118.491244,Los Angeles,United States,,,
9462-MJUAW,Male,60,Month-to-Month,Cable,Credit Card,Yes,Churned,Competitor,92%,1,328.36,No Streaming,37.897743,-122.263124,Berkeley,United States,,,
9565-FLVCG,Male,40,Two Year,DSL,Mailed Check,No,Stayed,Other,74%,3,5568.49,Movies + Music,35.245035,-118.905553,Lamont,United States,,,
9524-EGPJC,Female,33,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Competitor,80%,1,2180.27,Movies + Music,37.862128,-122.075197,Walnut Creek,United States,,,
9451-WLYRI,Female,50,One Year,Other,Credit Card,No,Stayed,Other,74%,5,3441.17,No Streaming,33.215251,-116.53633,Ranchita,United States,,,
3648-GZPHF,Male,48,One Year,DSL,Mailed Check,No,Stayed,Other,45%,5,1151.05,No Streaming,33.162624,-117.170863,San Marcos,United States,,,
9090-SGQXL,Male,70,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Competitor,79%,3,10507.21,Movies + TV,37.078873,-122.090386,Ben Lomond,United States,,,
8022-BECSI,Male,62,One Year,Other,Credit Card,No,Stayed,Other,37%,5,872.62,No Streaming,33.174725,-116.743329,Santa Ysabel,United States,,,
8751-EDEKA,Female,56,Month-to-Month,Fiber Optic,Credit Card,No,Stayed,Other,55%,4,3360.02,Movies + Music,32.99356,-117.207121,Rancho Santa Fe,United States,,,
0397-GZBBC,Male,70,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Price,85%,2,6202.64,Movies + TV,36.959731,-120.653519,South Dos Palos,United States,,,
4110-PFEUZ,Female,54,Month-to-Month,Fiber Optic,Credit Card,Yes,Churned,Competitor,73%,1,99.33,No Streaming,34.875144,-116.821698,Daggett,United States,,,
9206-GVPEQ,Male,28,Month-to-Month,Cable,Bank Withdrawal,Yes,Churned,Dissatisfaction,88%,1,706.85,All,36.654614,-119.903674,Fresno,United States,,,
3338-CVVEH,Male,38,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,25%,5,1340.11,All,32.64164,-116.985026,Chula Vista,United States,,,
0516-QREYC,Female,78,Two Year,Other,Credit Card,No,Stayed,Other,71%,5,901.31,No Streaming,38.681651,-122.130569,Capay,United States,,,
6974-DAFLI,Female,54,One Year,Other,Bank Withdrawal,No,Stayed,Other,28%,3,1320.45,No Streaming,35.392599,-119.245341,Bakersfield,United States,,,
3511-BFTJW,Male,25,Two Year,DSL,Credit Card,No,Stayed,Other,58%,4,2763,No Streaming,34.119363,-117.855059,Glendora,United States,,,
0266-CLZKZ,Female,45,Two Year,Fiber Optic,Bank Withdrawal,No,Stayed,Other,59%,5,7909.83,All,33.119028,-117.166036,San Marcos,United States,,,
6797-UCJHZ,Female,74,One Year,Fiber Optic,Credit Card,No,Stayed,Other,27%,3,8503.11,Movies + TV,34.269449,-118.768471,Simi Valley,United States,,,
8809-RIHDD,Male,47,Two Year,Fiber Optic,Bank Withdrawal,Yes,Churned,Price,83%,3,7593.69,All,38.549185,-121.328386,Sacramento,United States,,,
6077-BDPXA,Female,56,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Joined,Other,26%,3,211.09,No Streaming,37.255637,-120.493537,Merced,United States,,,
7036-TYDEC,Female,44,Two Year,Fiber Optic,Bank Withdrawal,No,Stayed,Other,63%,5,7156.15,All,33.4725,-117.584273,San Clemente,United States,,,
5707-ORNDZ,Male,79,Month-to-Month,DSL,Bank Withdrawal,Yes,Churned,Dissatisfaction,79%,1,516.1,No Streaming,39.075694,-121.70606,Yuba City,United States,,,
5930-GBIWP,Male,46,Two Year,Cable,Credit Card,No,Stayed,Other,45%,4,5776.81,Movies + Music,40.012675,-120.101857,Doyle,United States,,,
1399-OUPJN,Female,43,Two Year,Other,Bank Withdrawal,No,Stayed,Other,80%,5,1970.87,No Streaming,33.887676,-118.127289,Bellflower,United States,,,
6987-XQSJT,Female,68,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Attitude,78%,1,6841.83,No Streaming,40.94338,-123.831799,Blue Lake,United States,,,
3055-OYMSE,Female,75,Month-to-Month,Fiber Optic,Credit Card,No,Stayed,Other,45%,3,4891.07,No Streaming,37.257772,-122.051824,Saratoga,United States,,,
3160-TYXLT,Male,37,Month-to-Month,DSL,Bank Withdrawal,No,Stayed,Other,63%,3,2546.85,Movies + Music,34.557711,-118.029441,Palmdale,United States,,,
4091-TVOCN,Male,51,One Year,Cable,Credit Card,No,Stayed,Other,69%,3,3843.89,All,32.619465,-116.593605,Potrero,United States,,,
2293-IJWPS,Female,39,One Year,Fiber Optic,Credit Card,No,Stayed,Other,31%,3,6197.04,All,39.955587,-123.681175,Piercy,United States,,,
3892-NXAZG,Male,56,Two Year,Fiber Optic,Credit Card,No,Stayed,Other,72%,4,8707.52,All,39.578792,-120.780786,Downieville,United States,,,
4706-DGAHW,Male,73,Two Year,DSL,Bank Withdrawal,No,Joined,Other,44%,3,94.54,No Streaming,35.865795,-118.69759,California Hot Springs,United States,,,
0654-PQKDW,Female,58,One Year,DSL,Bank Withdrawal,No,Stayed,Other,24%,3,6870.55,Streaming TV,37.22565,-122.297533,Pescadero,United States,,,
8107-RZLNV,Male,22,Two Year,Fiber Optic,Bank Withdrawal,No,Stayed,Other,62%,5,8651.83,All,33.944624,-118.192615,South Gate,United States,,,
